commentary,Player,Team
"Offside - Liverpool. Alex Oxlade-Chamberlain with a pass, however Adam Lallana is in offside.",,
Substitution -  Liverpool. Adam Lallana for Sadio Mané.,,
Substitution -  Newcastle United. Isaac Hayden for Mikel Merino.,,
Shot blocked. Jacob Murphy  - Newcastle United -  shot with right foot from outside the box is blocked. Assist -  Christian Atsu.,,
"Offside - Liverpool. Emre Can with a pass, however Andrew Robertson is in offside.",,
Fouled by Mohamed Diamé  - Newcastle United,,
Emre Can  - Liverpool -  won a free kick in defence.,,
Fouled by DeAndre Yedlin  - Newcastle United,,
Andrew Robertson  - Liverpool -  won a free kick on the left wing.,,
Shot blocked. Virgil van Dijk  - Liverpool -  shot with right foot from the centre of the box is blocked. Assist -  Dejan Lovren with a head.,,
Corner -  Liverpool. Conceded by Kenedy.,,
Substitution -  Newcastle United. Joselu for Dwight Gayle.,,
Mikel Merino  - Newcastle United -  won a free kick on the right wing.,,
Fouled by Andrew Robertson  - Liverpool,,
"Goal!  Liverpool 2, Newcastle United 0. Sadio Mané  - Liverpool -  shot with right foot from the centre of the box to the right corner. Assist -  Roberto Firmino.",,
Kenedy  - Newcastle United -  won a free kick on the left wing.,,
Fouled by Alex Oxlade-Chamberlain  - Liverpool,,
Shot blocked. Mohamed Salah  - Liverpool -  shot with left foot from the centre of the box is blocked. Assist -  Andrew Robertson.,,
Hand ball by Jacob Murphy  - Newcastle United,,
Corner -  Liverpool. Conceded by Paul Dummett.,,
"Second Half starts Liverpool 1, Newcastle United 0.",,
"First Half ended - Liverpool 1, Newcastle United 0.",,
Corner -  Newcastle United. Conceded by Virgil van Dijk.,,
Corner -  Newcastle United. Conceded by Loris Karius.,,
New attacking attempt. Mohamed Diamé  - Newcastle United -  shot with left foot from outside the box is saved in the top left corner. Assist -  Mikel Merino.,,
Missed chance. Sadio Mané  - Liverpool -  shot with left foot from the centre of the box is high and wide to the left. Assist -  Roberto Firmino.,,
"Goal!  Liverpool 1, Newcastle United 0. Mohamed Salah  - Liverpool -  shot with left foot from the centre of the box to the high centre of the goal. Assist -  Alex Oxlade-Chamberlain.",,
Mohamed Salah  - Liverpool -  won a free kick in attack.,,
Fouled by Florian Lejeune  - Newcastle United,,
"Offside - Newcastle United. Mikel Merino with a pass, however Dwight Gayle is in offside.",,
Corner -  Liverpool. Conceded by Mohamed Diamé.,,
Shot blocked. Roberto Firmino  - Liverpool -  shot with the head from the right side of the six yard box is blocked. Assist -  Mohamed Salah with a cross.,,
Corner -  Liverpool. Conceded by Paul Dummett.,,
"Offside - Liverpool. Virgil van Dijk with a pass, however Andrew Robertson is in offside.",,
Missed chance. Dwight Gayle  - Newcastle United -  shot with right foot from outside the box goes high. Assist -  Christian Atsu.,,
Fouled by Sadio Mané  - Liverpool,,
Christian Atsu  - Newcastle United -  won a free kick on the right wing.,,
Corner -  Liverpool. Conceded by Florian Lejeune.,,
Shot blocked. Mohamed Salah  - Liverpool -  shot with right foot from the centre of the box is blocked. Assist -  Roberto Firmino.,,
Shot blocked. Dejan Lovren  - Liverpool -  shot with the head from few metres is blocked.,,
New attacking attempt. Dejan Lovren  - Liverpool -  shot with the head from the centre of the box is saved in the top left corner. Assist -  Mohamed Salah with a cross.,,
Corner -  Liverpool. Conceded by Florian Lejeune.,,
Virgil van Dijk  - Liverpool -  won a free kick in defence.,,
Fouled by Dwight Gayle  - Newcastle United,,
New attacking attempt. Florian Lejeune  - Newcastle United -  shot with right foot from outside the box is saved in the left corner.,,
Mikel Merino  - Newcastle United -  won a free kick in attack.,,
Fouled by Roberto Firmino  - Liverpool,,
Kenedy  - Newcastle United -  won a free kick in defence.,,
Fouled by Alex Oxlade-Chamberlain  - Liverpool,,
Missed chance. Emre Can  - Liverpool -  shot with the head from the centre of the box missed to the left. Assist -  Trent Alexander-Arnold with a cross .,,
Mohamed Salah  - Liverpool -  won a free kick in attack.,,
Fouled by Mikel Merino  - Newcastle United,,
"Missed chance. Mohamed Salah  - Liverpool -  shot with left foot from the left side of the box is close, but missed to the left. Assist -  Emre Can.",,
Fouled by Mikel Merino  - Newcastle United,,
Alex Oxlade-Chamberlain  - Liverpool -  won a free kick on the left wing.,,
Shot blocked. Mohamed Salah  - Liverpool -  shot with left foot from the centre of the box is blocked. Assist -  Roberto Firmino with a head.,,
"Offside - Liverpool. Sadio Mané with a pass, however Andrew Robertson is in offside.",,
"Second Half ended - Manchester City 1, Chelsea 0.",,
Missed chance. Marcos Alonso  - Chelsea -  shot with left foot from outside the box missed to the left. Assist -  Daniel Drinkwater.,,
Substitution -  Manchester City. Phil Foden for David Silva.,,
Missed chance. Leroy Sané  - Manchester City -  shot with right foot from outside the box goes high. Assist -  Kevin De Bruyne.,,
Kevin De Bruyne  - Manchester City -  won a free kick in defence.,,
Fouled by Daniel Drinkwater  - Chelsea,,
Substitution -  Chelsea. Álvaro Morata for Eden Hazard.,,
Fouled by Daniel Drinkwater  - Chelsea,,
David Silva  - Manchester City -  won a free kick on the left wing.,,
Kyle Walker  - Manchester City -  won a free kick in defence.,,
Fouled by Emerson  - Chelsea,,
"Offside - Chelsea. César Azpilicueta with a pass, however Eden Hazard is in offside.",,
Substitution -  Manchester City. Danilo for Oleksandr Zinchenko.,,
Substitution -  Manchester City. Gabriel Jesus for Sergio Agüero.,,
Substitution -  Chelsea. Emerson for Pedro.,,
Missed chance. Olivier Giroud  - Chelsea -  shot with the head from outside the box missed to the left. Assist -  Cesc Fàbregas.,,
Corner -  Chelsea. Conceded by Bernardo Silva.,,
Substitution -  Chelsea. Olivier Giroud for Willian.,,
Missed chance. Kevin De Bruyne  - Manchester City -  shot with right foot from outside the box goes high. Assist -  David Silva.,,
Victor Moses  - Chelsea -  won a free kick in defence.,,
Fouled by Oleksandr Zinchenko  - Manchester City,,
Corner -  Manchester City. Conceded by Marcos Alonso.,,
Corner -  Manchester City. Conceded by Daniel Drinkwater.,,
Shot blocked. David Silva  - Manchester City -  shot with left foot from outside the box is blocked. Assist -  Sergio Agüero.,,
Antonio Rüdiger  - Chelsea -  receive yellow card.,,
Fouled by Antonio Rüdiger  - Chelsea,,
Bernardo Silva  - Manchester City -  won a free kick on the right wing.,,
New attacking attempt. David Silva  - Manchester City -  shot with left foot from the left side of the box is saved in the top left corner. Assist -  Kevin De Bruyne.,,
Missed chance. Victor Moses  - Chelsea -  shot with right foot from a diffucult position on the right missed. Assist -  Cesc Fàbregas.,,
Delay over. They are ready to continue.,,
Delay in match Eden Hazard  - Chelsea -   - injury.,,
Ilkay Gündogan  - Manchester City -  receive yellow card for a foul.,,
Fouled by Ilkay Gündogan  - Manchester City,,
Eden Hazard  - Chelsea -  won a free kick in attack.,,
"Goal!  Manchester City 1, Chelsea 0. Bernardo Silva  - Manchester City -  shot with left foot from the centre of the box to the centre of the goal. Assist -  David Silva with a cross.",,
"Second Half starts Manchester City 0, Chelsea 0.",,
"First Half ended - Manchester City 0, Chelsea 0.",,
Pedro  - Chelsea -  won a free kick in defence.,,
Fouled by Kevin De Bruyne  - Manchester City,,
Fouled by David Silva  - Manchester City,,
Andreas Christensen  - Chelsea -  won a free kick in defence.,,
Corner -  Manchester City. Conceded by César Azpilicueta.,,
Corner -  Chelsea. Conceded by Kyle Walker.,,
"Offside - Manchester City. Kevin De Bruyne with a pass, however Sergio Agüero is in offside.",,
Fouled by Antonio Rüdiger  - Chelsea,,
Bernardo Silva  - Manchester City -  won a free kick on the right wing.,,
Fouled by Bernardo Silva  - Manchester City,,
Eden Hazard  - Chelsea -  won a free kick in defence.,,
Shot blocked. David Silva  - Manchester City -  shot with left foot from outside the box is blocked. Assist -  Sergio Agüero.,,
Missed chance. Bernardo Silva  - Manchester City -  shot with left foot from the right side of the box is high and wide to the left. Assist -  Leroy Sané.,,
Fouled by Kevin De Bruyne  - Manchester City,,
Antonio Rüdiger  - Chelsea -  won a free kick in defence.,,
Nicolás Otamendi  - Manchester City -  won a free kick in defence.,,
Fouled by Eden Hazard  - Chelsea,,
Hand ball by Pedro  - Chelsea,,
Shot blocked. Leroy Sané  - Manchester City -  shot with right foot from a diffucult position on the left is blocked. Assist -  Kevin De Bruyne with a cross.,,
Sergio Agüero  - Manchester City -  won a free kick on the right wing.,,
Fouled by Antonio Rüdiger  - Chelsea,,
Oleksandr Zinchenko  - Manchester City -  receive yellow card for a foul.,,
Missed chance. Bernardo Silva  - Manchester City -  shot with left foot from the right side of the box is very close to the goal. Assist -  Sergio Agüero.,,
Fouled by Bernardo Silva  - Manchester City,,
Daniel Drinkwater  - Chelsea -  won a free kick in defence.,,
Missed chance. Leroy Sané  - Manchester City -  shot with left foot from the left side of the box is high and wide to the left. Assist -  Kevin De Bruyne.,,
"Offside - Manchester City. Leroy Sané with a pass, however Sergio Agüero is in offside.",,
Shot blocked. Leroy Sané  - Manchester City -  shot with left foot from the left side of the box is blocked. Assist -  Sergio Agüero.,,
Shot blocked. Sergio Agüero  - Manchester City -  shot with right foot from the centre of the box is blocked. Assist -  Leroy Sané.,,
Corner -  Manchester City. Conceded by Antonio Rüdiger.,,
Shot blocked. Leroy Sané  - Manchester City -  shot with left foot from the centre of the box is blocked. Assist -  David Silva with a cross.,,
Pedro  - Chelsea -  won a free kick in defence.,,
Fouled by Kevin De Bruyne  - Manchester City,,
Fouled by Marcos Alonso  - Chelsea,,
Bernardo Silva  - Manchester City -  won a free kick in attack.,,
Corner -  Manchester City. Conceded by César Azpilicueta.,,
"Thats all. Game finished -  Southampton 0, Stoke City 0.",,
"Second Half ended - Southampton 0, Stoke City 0.",,
Sofiane Boufal  - Southampton -  won a free kick on the left wing.,,
Fouled by Badou Ndiaye  - Stoke City,,
Missed chance. Badou Ndiaye  - Stoke City -  shot with right foot from outside the box goes high. Assist -  Xherdan Shaqiri.,,
New attacking attempt. Cédric Soares  - Southampton -  shot with right foot from outside the box is saved in the left corner. Assist -  Oriol Romeu.,,
"Missed chance. Jesé  - Stoke City -  shot with right foot from outside the box is close, but missed to the left. Assist -  Badou Ndiaye.",,
Fouled by Jack Stephens  - Southampton,,
Bruno Martins Indi  - Stoke City -  won a free kick in defence.,,
Corner -  Southampton. Conceded by Badou Ndiaye.,,
Shot blocked. Oriol Romeu  - Southampton -  shot with right foot from outside the box is blocked. Assist -  Manolo Gabbiadini.,,
Corner -  Stoke City. Conceded by Jack Stephens.,,
Moritz Bauer  - Stoke City -  won a free kick on the right wing.,,
Fouled by Shane Long  - Southampton,,
Corner -  Stoke City. Conceded by Jack Stephens.,,
Missed chance. Cédric Soares  - Southampton -  shot with right foot from outside the box missed. Assist -  Nathan Redmond .,,
Sofiane Boufal  - Southampton -  won a free kick on the left wing.,,
Fouled by Moritz Bauer  - Stoke City,,
Corner -  Southampton. Conceded by Erik Pieters.,,
Substitution -  Southampton. Shane Long for Guido Carrillo.,,
Ryan Bertrand  - Southampton -  won a free kick in defence.,,
Fouled by Peter Crouch  - Stoke City,,
Peter Crouch  - Stoke City -  won a free kick in defence.,,
Fouled by Ryan Bertrand  - Southampton,,
"Missed chance. Sofiane Boufal  - Southampton -  shot with the head from the centre of the box is close, but missed. Assist -  Nathan Redmond with a cross.",,
Substitution -  Southampton. Sofiane Boufal for Josh Sims.,,
"Offside - Southampton. Oriol Romeu with a pass, however Josh Sims is in offside.",,
New attacking attempt. Nathan Redmond  - Southampton -  shot with right foot from the left side of the box is saved in the left corner. Assist -  Josh Sims with a head.,,
Shot blocked. Guido Carrillo  - Southampton -  shot with the head from the centre of the box is blocked. Assist -  Nathan Redmond with a cross.,,
Ryan Bertrand  - Southampton -  won a free kick on the left wing.,,
Fouled by Moritz Bauer  - Stoke City,,
New attacking attempt. Nathan Redmond  - Southampton -  shot with right foot from outside the box is saved in the right corner. Assist -  Ryan Bertrand.,,
"Offside - Stoke City. Jack Butland with a pass, however Peter Crouch is in offside.",,
"Offside - Southampton. Wesley Hoedt with a pass, however Jack Stephens is in offside.",,
Corner -  Southampton. Conceded by Geoff Cameron.,,
Shot blocked. Guido Carrillo  - Southampton -  shot with the head from the centre of the box is blocked. Assist -  Ryan Bertrand with a cross.,,
Corner -  Southampton. Conceded by Erik Pieters.,,
Shot blocked. Ryan Bertrand  - Southampton -  shot with left foot from the right side of the box is blocked. Assist -  Cédric Soares.,,
Corner -  Southampton. Conceded by Erik Pieters.,,
Missed chance. Peter Crouch  - Stoke City -  shot with right foot from outside the box missed to the left. Assist -  Xherdan Shaqiri following a fast break.,,
Shot blocked. Mario Lemina  - Southampton -  shot with right foot from outside the box is blocked.,,
Corner -  Southampton. Conceded by Jack Butland.,,
New attacking attempt. Cédric Soares  - Southampton -  shot with right foot from outside the box is saved in the top right corner.,,
Substitution -  Stoke City. Jesé for Eric Maxim Choupo-Moting.,,
Substitution -  Southampton. Manolo Gabbiadini for Dusan Tadic.,,
Mario Lemina  - Southampton -  won a free kick in defence.,,
Fouled by Badou Ndiaye  - Stoke City,,
Missed chance. Eric Maxim Choupo-Moting  - Stoke City -  shot with left foot from the centre of the box goes high. Assist -  Peter Crouch with a head.,,
Missed chance. Mario Lemina  - Southampton -  shot with right foot from outside the box goes high. Assist -  Nathan Redmond.,,
"Offside - Stoke City. Jack Butland with a pass, however Peter Crouch is in offside.",,
New attacking attempt. Josh Sims  - Southampton -  shot with right foot from the centre of the box is saved in the left corner. Assist -  Cédric Soares.,,
Josh Sims  - Southampton -  won a free kick on the right wing.,,
Fouled by Erik Pieters  - Stoke City,,
Fouled by Guido Carrillo  - Southampton,,
Eric Maxim Choupo-Moting  - Stoke City -  won a free kick in defence.,,
Fouled by Erik Pieters  - Stoke City,,
Dusan Tadic  - Southampton -  won a free kick in defence.,,
Fouled by Jack Stephens  - Southampton,,
Bruno Martins Indi  - Stoke City -  won a free kick in defence.,,
Corner -  Southampton. Conceded by Kurt Zouma.,,
Missed chance. Eric Maxim Choupo-Moting  - Stoke City -  shot with right foot from outside the box is high and wide to the right. Assist -  Erik Pieters.,,
Missed chance. Peter Crouch  - Stoke City -  shot with right foot from long distance on the left goes high. Assist -  Geoff Cameron with a head.,,
"Missed chance. Mario Lemina  - Southampton -  shot with right foot from outside the box is close, but missed to the left after corner.",,
Corner -  Southampton. Conceded by Jack Butland.,,
New attacking attempt. Josh Sims  - Southampton -  shot with left foot from a diffucult position on the left is saved by goalkeeper in the centre of the goal. Assist -  Guido Carrillo.,,
Substitution -  Stoke City. Peter Crouch for Konstantinos Stafylidis.,,
"Second Half starts Southampton 0, Stoke City 0.",,
"First Half ended - Southampton 0, Stoke City 0.",,
Shot blocked. Guido Carrillo  - Southampton -  shot with the head from the centre of the box is blocked. Assist -  Cédric Soares with a cross.,,
Corner -  Southampton. Conceded by Kurt Zouma.,,
New attacking attempt. Eric Maxim Choupo-Moting  - Stoke City -  shot with the head from the centre of the box is saved in the left corner. Assist -  Xherdan Shaqiri.,,
Corner -  Southampton. Conceded by Erik Pieters.,,
Corner -  Stoke City. Conceded by Alex McCarthy.,,
New attacking attempt. Badou Ndiaye  - Stoke City -  shot with the head from the centre of the box is saved in the right corner. Assist -  Xherdan Shaqiri.,,
Geoff Cameron  - Stoke City -  receive yellow card for a foul.,,
Xherdan Shaqiri  - Stoke City -  won a free kick on the left wing.,,
Fouled by Oriol Romeu  - Southampton,,
Corner -  Southampton. Conceded by Bruno Martins Indi.,,
Shot blocked. Josh Sims  - Southampton -  shot with left foot from the left side of the box is blocked. Assist -  Wesley Hoedt.,,
Corner -  Southampton. Conceded by Geoff Cameron.,,
Corner -  Southampton. Conceded by Joe Allen.,,
Delay over. They are ready to continue.,,
Delay in match Mario Lemina  - Southampton -   - injury.,,
Mario Lemina  - Southampton -  won a free kick in defence.,,
Fouled by Badou Ndiaye  - Stoke City,,
Missed chance. Cédric Soares  - Southampton -  shot with right foot from outside the box is high and wide to the right after corner.,,
Corner -  Southampton. Conceded by Moritz Bauer.,,
Missed chance. Konstantinos Stafylidis  - Stoke City -  shot with right foot from outside the box is high and wide to the right. Assist -  Xherdan Shaqiri.,,
Oriol Romeu  - Southampton -  won a free kick in attack.,,
Fouled by Badou Ndiaye  - Stoke City,,
Missed chance. Konstantinos Stafylidis  - Stoke City -  shot with left foot from outside the box goes high. Assist -  Eric Maxim Choupo-Moting.,,
Missed chance. Badou Ndiaye  - Stoke City -  shot with right foot from outside the box missed to the left .,,
Delay over. They are ready to continue.,,
Substitution -  Stoke City. Erik Pieters for Mame Biram Diouf  - injury.,,
Delay in match Mame Biram Diouf  - Stoke City -   - injury.,,
Mame Biram Diouf  - Stoke City -  won a free kick in attack.,,
Fouled by Wesley Hoedt  - Southampton,,
Fouled by Badou Ndiaye  - Stoke City,,
Cédric Soares  - Southampton -  won a free kick in defence.,,
Corner -  Stoke City. Conceded by Wesley Hoedt.,,
Ryan Bertrand  - Southampton -  won a free kick on the left wing.,,
Fouled by Moritz Bauer  - Stoke City,,
Fouled by Bruno Martins Indi  - Stoke City,,
Dusan Tadic  - Southampton -  won a free kick on the right wing.,,
Corner -  Southampton. Conceded by Moritz Bauer.,,
Fouled by Oriol Romeu  - Southampton,,
Badou Ndiaye  - Stoke City -  won a free kick in attack.,,
New attacking attempt. Badou Ndiaye  - Stoke City -  shot with right foot from outside the box is saved by goalkeeper in the centre of the goal. Assist -  Konstantinos Stafylidis.,,
Ryan Bertrand  - Southampton -  won a free kick in defence.,,
Fouled by Xherdan Shaqiri  - Stoke City,,
"Thats all. Game finished -  Swansea City 4, West Ham United 1.",,
"Second Half ended - Swansea City 4, West Ham United 1.",,
Substitution -  Swansea City. Tammy Abraham for Sam Clucas.,,
Fouled by Alfie Mawson  - Swansea City,,
Chicharito  - West Ham United -  won a free kick in defence.,,
"Offside - West Ham United. Mark Noble with a pass, however Michail Antonio is in offside.",,
Shot blocked. Michail Antonio  - West Ham United -  shot with left foot from outside the box is blocked. Assist -  Chicharito.,,
Shot blocked. Manuel Lanzini  - West Ham United -  shot with left foot from outside the box is blocked.,,
Michail Antonio  - West Ham United -  won a free kick in defence.,,
Fouled by Jordan Ayew  - Swansea City,,
"Offside - West Ham United. Michail Antonio with a pass, however Marko Arnautovic is in offside.",,
Shot blocked. Sam Byram  - West Ham United -  shot with right foot from outside the box is blocked.,,
Substitution -  Swansea City. Tom Carroll for Andy King.,,
Shot blocked. Cheikhou Kouyaté  - West Ham United -  shot with right foot from outside the box is blocked.,,
Manuel Lanzini  - West Ham United -  won a free kick in defence.,,
Fouled by Sam Clucas  - Swansea City,,
"Goal!  Swansea City 4, West Ham United 1. Michail Antonio  - West Ham United -  shot with right foot from the centre of the box to the left corner. Assist -  Aaron Cresswell .",,
Substitution -  Swansea City. Nathan Dyer for André Ayew.,,
Michail Antonio  - West Ham United -  won a free kick on the left wing.,,
Fouled by Kyle Naughton  - Swansea City,,
Delay over. They are ready to continue.,,
Delay in match Michail Antonio  - West Ham United -   - injury.,,
Delay in match Alfie Mawson  - Swansea City -   - injury.,,
Fouled by Mark Noble  - West Ham United,,
André Ayew  - Swansea City -  won a free kick in attack.,,
New attacking attempt. Jordan Ayew  - Swansea City -  shot with right foot from more than 35 yards is saved by goalkeeper in the centre of the goal. Assist -  André Ayew.,,
Marko Arnautovic  - West Ham United -  receive yellow card for a foul.,,
Kyle Naughton  - Swansea City -  won a free kick in defence.,,
Fouled by Marko Arnautovic  - West Ham United,,
Cheikhou Kouyaté  - West Ham United -  receive yellow card for a foul.,,
Fouled by Cheikhou Kouyaté  - West Ham United,,
André Ayew  - Swansea City -  won a free kick in attack.,,
Jordan Ayew  - Swansea City -  won a free kick in attack.,,
Fouled by Cheikhou Kouyaté  - West Ham United,,
"Goal!  Swansea City 4, West Ham United 0. Jordan Ayew  - Swansea City -  converts the penalty with a shot with right foot to the left corner.",,
Penalty conceded by Cheikhou Kouyaté  - West Ham United -  after a foul in the penalty area.,,
Penalty Swansea City. André Ayew draws a foul in the penalty area.,,
Michail Antonio  - West Ham United -  won a free kick in defence.,,
Fouled by Jordan Ayew  - Swansea City,,
New attacking attempt. Marko Arnautovic  - West Ham United -  shot with right foot from the centre of the box is saved in the top right corner. Assist -  Manuel Lanzini.,,
Corner -  West Ham United. Conceded by Mike van der Hoorn.,,
Corner -  West Ham United. Conceded by Federico Fernández.,,
Fouled by Chicharito  - West Ham United,,
Alfie Mawson  - Swansea City -  won a free kick in defence.,,
"Goal!  Swansea City 3, West Ham United 0. Andy King  - Swansea City -  shot with right foot from few metres to the centre of the goal after corner.",,
New attacking attempt. André Ayew  - Swansea City -  shot with the head from the centre of the box is saved in the right corner. Assist -  Sam Clucas with a cross.,,
Corner -  Swansea City. Conceded by Aaron Cresswell.,,
"Offside - West Ham United. Chicharito with a pass, however Marko Arnautovic is in offside.",,
Substitution -  West Ham United. Michail Antonio for Patrice Evra.,,
"Second Half starts Swansea City 2, West Ham United 0.",,
"First Half ended - Swansea City 2, West Ham United 0.",,
Fouled by Aaron Cresswell  - West Ham United,,
André Ayew  - Swansea City -  won a free kick on the right wing.,,
Corner -  West Ham United. Conceded by Kyle Naughton.,,
Martin Olsson  - Swansea City -  won a free kick on the left wing.,,
Fouled by Marko Arnautovic  - West Ham United,,
Missed chance. Ki Sung-yueng  - Swansea City -  shot with right foot from outside the box goes high. Assist -  Andy King.,,
Fouled by Cheikhou Kouyaté  - West Ham United,,
Alfie Mawson  - Swansea City -  won a free kick in defence.,,
Mark Noble  - West Ham United -  receive yellow card for a foul.,,
Fouled by Mark Noble  - West Ham United,,
Andy King  - Swansea City -  won a free kick in defence.,,
Dangerous play by André Ayew  - Swansea City,,
Aaron Cresswell  - West Ham United -  won a free kick in defence.,,
Manuel Lanzini  - West Ham United -  won a free kick in defence.,,
Fouled by André Ayew  - Swansea City,,
Sam Byram  - West Ham United -  won a free kick in defence.,,
Fouled by Jordan Ayew  - Swansea City,,
Fouled by André Ayew  - Swansea City,,
Aaron Cresswell  - West Ham United -  won a free kick in defence.,,
Fouled by Marko Arnautovic  - West Ham United,,
Federico Fernández  - Swansea City -  won a free kick in defence.,,
"Goal!  Swansea City 2, West Ham United 0. Mike van der Hoorn  - Swansea City -  shot with the head from the centre of the box to the centre of the goal. Assist -  Ki Sung-yueng with a cross after corner.",,
Corner -  Swansea City. Conceded by Declan Rice.,,
New attacking attempt. André Ayew  - Swansea City -  shot with left foot from the right side of the box is saved by goalkeeper in the centre of the goal. Assist -  Jordan Ayew.,,
Jordan Ayew  - Swansea City -  won a free kick in attack.,,
Fouled by Mark Noble  - West Ham United,,
"Offside - West Ham United. Chicharito with a pass, however Marko Arnautovic is in offside.",,
Substitution -  West Ham United. Sam Byram for Winston Reid  - injury.,,
Delay over. They are ready to continue.,,
Delay in match Winston Reid  - West Ham United -   - injury.,,
Corner -  Swansea City. Conceded by Pablo Zabaleta.,,
Shot blocked. Federico Fernández  - Swansea City -  shot with right foot inside of six yard box - left side is blocked. Assist -  Mike van der Hoorn.,,
Corner -  Swansea City. Conceded by Adrián.,,
Ki Sung-yueng  - Swansea City -  won a free kick in attack.,,
Fouled by Mark Noble  - West Ham United,,
Sam Clucas  - Swansea City -  won a free kick in defence.,,
Fouled by Winston Reid  - West Ham United,,
Corner -  West Ham United. Conceded by Martin Olsson.,,
"Goal!  Swansea City 1, West Ham United 0. Ki Sung-yueng  - Swansea City -  shot with left foot from outside the box to the right corner. Assist -  André Ayew.",,
"Offside - West Ham United. Winston Reid with a pass, however Chicharito is in offside.",,
Missed chance. Winston Reid  - West Ham United -  shot with the head from the centre of the box missed to the left after corner.,,
Corner -  West Ham United. Conceded by Alfie Mawson.,,
"Thats all. Game finished -  Tottenham Hotspur 2, Huddersfield Town 0.",,
"Second Half ended - Tottenham Hotspur 2, Huddersfield Town 0.",,
Corner -  Tottenham Hotspur. Conceded by Jonas Lössl.,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Harry Kane is in offside.",,
New attacking attempt. Harry Kane  - Tottenham Hotspur -  shot with right foot from outside the box is saved in the right corner. Assist -  Lucas Moura.,,
"Offside - Tottenham Hotspur. Erik Lamela with a pass, however Harry Kane is in offside.",,
Shot blocked. Harry Kane  - Tottenham Hotspur -  shot with right foot from the centre of the box is blocked. Assist -  Christian Eriksen.,,
Substitution -  Huddersfield Town. Laurent Depoitre for Jonathan Hogg.,,
Substitution -  Tottenham Hotspur. Lucas Moura for Dele Alli.,,
New attacking attempt. Danny Williams  - Huddersfield Town -  shot with right foot from outside the box is saved in the left corner.,,
Missed chance. Harry Kane  - Tottenham Hotspur -  shot with right foot from the centre of the box missed. Assist -  Christian Eriksen with a cross after corner.,,
Corner -  Tottenham Hotspur. Conceded by Jonathan Hogg.,,
Substitution -  Tottenham Hotspur. Moussa Sissoko for Mousa Dembélé.,,
Jonathan Hogg  - Huddersfield Town -  won a free kick in defence.,,
Fouled by Dele Alli  - Tottenham Hotspur,,
Terence Kongolo  - Huddersfield Town -  won a free kick in defence.,,
Fouled by Erik Lamela  - Tottenham Hotspur,,
Substitution -  Tottenham Hotspur. Erik Lamela for Son Heung-Min.,,
Mousa Dembélé  - Tottenham Hotspur -  won a free kick in attack.,,
Fouled by Zanka  - Huddersfield Town,,
Fouled by Zanka  - Huddersfield Town,,
Dele Alli  - Tottenham Hotspur -  won a free kick in attack.,,
Jonathan Hogg  - Huddersfield Town -  receive yellow card for a foul.,,
Serge Aurier  - Tottenham Hotspur -  won a free kick on the right wing.,,
Fouled by Jonathan Hogg  - Huddersfield Town,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Jan Vertonghen is in offside.",,
Fouled by Christopher Schindler  - Huddersfield Town,,
Dele Alli  - Tottenham Hotspur -  won a free kick on the right wing.,,
"Goal!  Tottenham Hotspur 2, Huddersfield Town 0. Son Heung-Min  - Tottenham Hotspur -  shot with the head from the centre of the box to the right corner. Assist -  Harry Kane with a cross.",,
New attacking attempt. Tom Ince  - Huddersfield Town -  shot with left foot from outside the box is saved in the top right corner. Assist -  Zanka with a through ball.,,
Missed chance. Ben Davies  - Tottenham Hotspur -  shot with left foot from outside the box missed.,,
Jan Vertonghen  - Tottenham Hotspur -  won a free kick in defence.,,
Fouled by Steve Mounie  - Huddersfield Town,,
Corner -  Huddersfield Town. Conceded by Mousa Dembélé.,,
Corner -  Tottenham Hotspur. Conceded by Christopher Schindler.,,
Shot blocked. Harry Kane  - Tottenham Hotspur -  shot with left foot from the centre of the box is blocked. Assist -  Eric Dier with a cross.,,
Shot blocked. Jan Vertonghen  - Tottenham Hotspur -  shot with left foot from outside the box is blocked. Assist -  Mousa Dembélé.,,
"Second Half starts Tottenham Hotspur 1, Huddersfield Town 0.",,
"First Half ended - Tottenham Hotspur 1, Huddersfield Town 0.",,
Corner -  Tottenham Hotspur. Conceded by Zanka.,,
Substitution -  Huddersfield Town. Philip Billing for Alex Pritchard  - injury.,,
New attacking attempt. Christian Eriksen  - Tottenham Hotspur -  shot with right foot from outside the box is saved in the left corner. Assist -  Son Heung-Min.,,
New attacking attempt. Harry Kane  - Tottenham Hotspur -  shot with right foot from the right side of the box is saved by goalkeeper in the centre of the goal. Assist -  Dele Alli.,,
Fouled by Tom Ince  - Huddersfield Town,,
Ben Davies  - Tottenham Hotspur -  won a free kick in attack.,,
Substitution -  Huddersfield Town. Tom Ince for Collin Quaner.,,
Delay in match Alex Pritchard  - Huddersfield Town -   - injury.,,
New attacking attempt. Rajiv van La Parra  - Huddersfield Town -  shot with right foot from the left side of the box is saved in the left corner. Assist -  Steve Mounie.,,
Steve Mounie  - Huddersfield Town -  won a free kick in attack.,,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
"Goal!  Tottenham Hotspur 1, Huddersfield Town 0. Son Heung-Min  - Tottenham Hotspur -  shot with left foot from the centre of the box to the right corner. Assist -  Dele Alli with a through ball following a fast break.",,
